x-axis,D0-D7,D8-D15
second,,
-100.0000E-03,10,0
-99.8000E-03,10,0
-99.6000E-03,10,0
-99.4000E-03,10,64
-99.2000E-03,0,64
-99.0000E-03,0,64
-98.8000E-03,0,64
-98.6000E-03,0,64
-98.4000E-03,0,64
-98.2000E-03,0,64
-98.0000E-03,0,64
-97.8000E-03,0,64
-97.6000E-03,0,64
-97.4000E-03,0,64
-97.2000E-03,0,64
-97.0000E-03,255,223
-96.8000E-03,15,208
-96.6000E-03,15,0
-96.4000E-03,15,0
-96.2000E-03,15,0
-96.0000E-03,15,0
-95.8000E-03,15,0
-95.6000E-03,15,0
-95.4000E-03,15,0
-95.2000E-03,15,0
-95.0000E-03,15,0
-94.8000E-03,15,0
-94.6000E-03,15,32
-94.4000E-03,0,32
-94.2000E-03,0,32
-94.0000E-03,0,32
-93.8000E-03,0,32
-93.6000E-03,0,32
-93.4000E-03,0,32
-93.2000E-03,0,32
-93.0000E-03,0,32
-92.8000E-03,0,32
-92.6000E-03,0,32
-92.4000E-03,0,32
-92.2000E-03,255,239
-92.0000E-03,7,224
-91.8000E-03,7,224
-91.6000E-03,7,0
-91.4000E-03,7,0
-91.2000E-03,7,0
-91.0000E-03,7,0
-90.8000E-03,7,0
-90.6000E-03,7,0
-90.4000E-03,7,0
-90.2000E-03,7,0
-90.0000E-03,7,0
-89.8000E-03,7,16
-89.6000E-03,0,16
-89.4000E-03,0,16
-89.2000E-03,0,16
-89.0000E-03,0,16
-88.8000E-03,0,16
-88.6000E-03,0,16
-88.4000E-03,0,16
-88.2000E-03,0,16
-88.0000E-03,0,16
-87.8000E-03,0,16
-87.6000E-03,0,16
-87.4000E-03,0,16
-87.2000E-03,255,127
-87.0000E-03,15,0
-86.8000E-03,15,0
-86.6000E-03,15,0
-86.4000E-03,15,0
-86.2000E-03,15,0
-86.0000E-03,15,0
-85.8000E-03,15,0
-85.6000E-03,15,0
-85.4000E-03,15,0
-85.2000E-03,15,0
-85.0000E-03,15,0
-84.8000E-03,15,128
-84.6000E-03,0,128
-84.4000E-03,0,128
-84.2000E-03,0,128
-84.0000E-03,0,128
-83.8000E-03,0,128
-83.6000E-03,0,128
-83.4000E-03,0,128
-83.2000E-03,0,128
-83.0000E-03,0,128
-82.8000E-03,0,128
-82.6000E-03,0,128
-82.4000E-03,255,191
-82.2000E-03,10,0
-82.0000E-03,10,0
-81.8000E-03,10,0
-81.6000E-03,10,0
-81.4000E-03,10,0
-81.2000E-03,10,0
-81.0000E-03,10,0
-80.8000E-03,10,0
-80.6000E-03,10,0
-80.4000E-03,10,0
-80.2000E-03,10,0
-80.0000E-03,10,64
-79.8000E-03,0,64
-79.6000E-03,0,64
-79.4000E-03,0,64
-79.2000E-03,0,64
-79.0000E-03,0,64
-78.8000E-03,0,64
-78.6000E-03,0,64
-78.4000E-03,0,64
-78.2000E-03,0,64
-78.0000E-03,0,64
-77.8000E-03,0,64
-77.6000E-03,255,223
-77.4000E-03,15,208
-77.2000E-03,15,0
-77.0000E-03,15,0
-76.8000E-03,15,0
-76.6000E-03,15,0
-76.4000E-03,15,0
-76.2000E-03,15,0
-76.0000E-03,15,0
-75.8000E-03,15,0
-75.6000E-03,15,0
-75.4000E-03,15,0
-75.2000E-03,15,32
-75.0000E-03,0,32
-74.8000E-03,0,32
-74.6000E-03,0,32
-74.4000E-03,0,32
-74.2000E-03,0,32
-74.0000E-03,0,32
-73.8000E-03,0,32
-73.6000E-03,0,32
-73.4000E-03,0,32
-73.2000E-03,0,32
-73.0000E-03,0,32
-72.8000E-03,255,239
-72.6000E-03,7,224
-72.4000E-03,7,0
-72.2000E-03,7,0
-72.0000E-03,7,0
-71.8000E-03,7,0
-71.6000E-03,7,0
-71.4000E-03,7,0
-71.2000E-03,7,0
-71.0000E-03,7,0
-70.8000E-03,7,0
-70.6000E-03,7,0
-70.4000E-03,7,16
-70.2000E-03,0,16
-70.0000E-03,0,16
-69.8000E-03,0,16
-69.6000E-03,0,16
-69.4000E-03,0,16
-69.2000E-03,0,16
-69.0000E-03,0,16
-68.8000E-03,0,16
-68.6000E-03,0,16
-68.4000E-03,0,16
-68.2000E-03,0,16
-68.0000E-03,255,127
-67.8000E-03,255,127
-67.6000E-03,15,0
-67.4000E-03,15,0
-67.2000E-03,15,0
-67.0000E-03,15,0
-66.8000E-03,15,0
-66.6000E-03,15,0
-66.4000E-03,15,0
-66.2000E-03,15,0
-66.0000E-03,15,0
-65.8000E-03,15,0
-65.6000E-03,15,0
-65.4000E-03,15,128
-65.2000E-03,0,128
-65.0000E-03,0,128
-64.8000E-03,0,128
-64.6000E-03,0,128
-64.4000E-03,0,128
-64.2000E-03,0,128
-64.0000E-03,0,128
-63.8000E-03,0,128
-63.6000E-03,0,128
-63.4000E-03,0,128
-63.2000E-03,0,128
-63.0000E-03,255,191
-62.8000E-03,10,0
-62.6000E-03,10,0
-62.4000E-03,10,0
-62.2000E-03,10,0
-62.0000E-03,10,0
-61.8000E-03,10,0
-61.6000E-03,10,0
-61.4000E-03,10,0
-61.2000E-03,10,0
-61.0000E-03,10,0
